Career_Name,text_content,Source_Type,Career_Options,JK_GOVT_PRIORITY
Data Scientist,"CAREER GUIDE: Data Scientist || 💰 SALARY: Entry: ₹6-12 LPA | Senior: ₹25-50+ LPA || 🗺️ ROADMAP: Step 1: B.Tech (CS/Math) or B.Stat. Step 2: Master Python, SQL, ML algorithms. Step 3: Build projects (Kaggle). Step 4: Intern as Data Analyst. Step 5: Transition to Data Scientist. || 🎓 EXAMS: GATE (for M.Tech), ISI Admission Test, CMI Entrance. || 🏔️ J&K COLLEGES: NIT Srinagar (M.Tech), IUST Awantipora (CS Dept), Central University of Jammu.",Career_Roadmap_Guide,Data Scientist,FALSE
Software Engineer,"CAREER GUIDE: Software Engineer || 💰 SALARY: Entry: ₹5-15 LPA | Senior: ₹30-80+ LPA || 🗺️ ROADMAP: Step 1: B.Tech in CSE/IT. Step 2: DSA (LeetCode) & Dev (Web/App). Step 3: Internships. Step 4: Campus Placements/Off-campus drives. || 🎓 EXAMS: JEE Mains/Advanced, BITSAT, VITEEE. || 🏔️ J&K COLLEGES: NIT Srinagar, GCET Jammu, GCET Safapora, IUST, SSM College of Engineering.",Career_Roadmap_Guide,Software Engineer,FALSE
AI Researcher,"CAREER GUIDE: AI Researcher || 💰 SALARY: Entry: ₹10-20 LPA | Senior: ₹50L-1Cr+ LPA || 🗺️ ROADMAP: Step 1: B.Tech CS. Step 2: MS/PhD in AI/ML. Step 3: Publish papers (NeurIPS, ICML). Step 4: Join Research Labs (Google DeepMind, OpenAI). || 🎓 EXAMS: GATE, GRE (for abroad). || 🏔️ J&K COLLEGES: NIT Srinagar (Research Dept), IIT Jammu (Research Programs).",Career_Roadmap_Guide,AI Researcher,FALSE
Web Developer,CAREER GUIDE: Web Developer || 💰 SALARY: Entry: ₹3-8 LPA | Senior: ₹20-40 LPA || 🗺️ ROADMAP: Step 1: Learn HTML/CSS/JS. Step 2: Learn React/Node.js. Step 3: Build Portfolio. Step 4: Freelance or Junior Dev role. || 🎓 EXAMS: None specific. Portfolio matters. || 🏔️ J&K COLLEGES: Any CS degree from GDC/University of Kashmir/Jammu + Online Bootcamps.,Career_Roadmap_Guide,Web Developer,FALSE
Mobile App Developer,"CAREER GUIDE: Mobile App Developer || 💰 SALARY: Entry: ₹4-9 LPA | Senior: ₹25-45 LPA || 🗺️ ROADMAP: Step 1: Learn Java/Kotlin (Android) or Swift (iOS). Step 2: Build Apps. Step 3: Publish to Play Store/App Store. || 🎓 EXAMS: None specific. || 🏔️ J&K COLLEGES: NIELIT Srinagar/Jammu (Certifications), CS Depts of KU/JU.",Career_Roadmap_Guide,Mobile App Developer,FALSE
Cyber Security Analyst,"CAREER GUIDE: Cyber Security Analyst || 💰 SALARY: Entry: ₹5-10 LPA | Senior: ₹25-50 LPA || 🗺️ ROADMAP: Step 1: B.Tech CS. Step 2: Learn Networking, Linux, Python. Step 3: Certifications (CEH, CISSP). Step 4: Security Analyst role. || 🎓 EXAMS: CEH, OSCP, CISSP. || 🏔️ J&K COLLEGES: NIELIT J&K (Cyber Security Courses), Central University Jammu.",Career_Roadmap_Guide,Cyber Security Analyst,FALSE
Doctor,"CAREER GUIDE: Doctor || 💰 SALARY: Entry: ₹8-12 LPA | Specialist: ₹30-1Cr+ LPA || 🗺️ ROADMAP: Step 1: PCB in 12th. Step 2: Crack NEET UG. Step 3: MBBS (5.5 yrs). Step 4: NEET PG for Specialization (MD/MS). || 🎓 EXAMS: NEET UG, NEET PG, INI-CET. || 🏔️ J&K COLLEGES: GMC Srinagar, GMC Jammu, SKIMS Soura, ASCOMS, AIIMS Vijaypur (Jammu).",Career_Roadmap_Guide,Doctor,FALSE
Clinical Nurse,"CAREER GUIDE: Clinical Nurse || 💰 SALARY: Entry: ₹3-6 LPA | Senior: ₹10-15 LPA || 🗺️ ROADMAP: Step 1: 12th PCB. Step 2: B.Sc Nursing. Step 3: Nursing Council Registration. Step 4: Hospital Job. || 🎓 EXAMS: JKBOPEE B.Sc Nursing Entrance. || 🏔️ J&K COLLEGES: Govt Nursing College Srinagar/Jammu, SKIMS Nursing College, Baba Mehar Singh College.",Career_Roadmap_Guide,Clinical Nurse,FALSE
Dental Surgeon,"CAREER GUIDE: Dental Surgeon || 💰 SALARY: Entry: ₹4-8 LPA | Senior: ₹15-30 LPA || 🗺️ ROADMAP: Step 1: NEET UG. Step 2: BDS (5 yrs). Step 3: MDS (Optional). Step 4: Private Practice or Govt Job. || 🎓 EXAMS: NEET UG, NEET MDS. || 🏔️ J&K COLLEGES: Govt Dental College (GDC) Srinagar, GDC Jammu.",Career_Roadmap_Guide,Dental Surgeon,FALSE
Biotech Researcher,"CAREER GUIDE: Biotech Researcher || 💰 SALARY: Entry: ₹4-7 LPA | Senior: ₹15-25 LPA || 🗺️ ROADMAP: Step 1: B.Sc/B.Tech Biotechnology. Step 2: M.Sc/M.Tech. Step 3: PhD (for Research). || 🎓 EXAMS: GAT-B, JAM, CSIR NET. || 🏔️ J&K COLLEGES: University of Kashmir (Biotech Dept), SMVDU Katra, SKUAST.",Career_Roadmap_Guide,Biotech Researcher,FALSE
Chartered Accountant,"CAREER GUIDE: Chartered Accountant || 💰 SALARY: Entry: ₹7-10 LPA | Senior: ₹20-50+ LPA || 🗺️ ROADMAP: Step 1: Register for CA Foundation after 12th. Step 2: Clear Intermediate. Step 3: Articleship (3 yrs). Step 4: Clear CA Final. || 🎓 EXAMS: ICAI CA Foundation, Intermediate, Final. || 🏔️ J&K COLLEGES: ICAI Chapters in Srinagar and Jammu (Self-study + Coaching).",Career_Roadmap_Guide,Chartered Accountant,FALSE
Investment Banker,"CAREER GUIDE: Investment Banker || 💰 SALARY: Entry: ₹12-25 LPA | Senior: ₹50L-2Cr+ LPA || 🗺️ ROADMAP: Step 1: B.Com/Eco/Engg. Step 2: CFA (Level 1/2) or MBA Finance. Step 3: Intern at Banks. Step 4: Analyst Role. || 🎓 EXAMS: CFA, CAT (for MBA). || 🏔️ J&K COLLEGES: The Business School (KU), TBS (JU), IIM Jammu.",Career_Roadmap_Guide,Investment Banker,FALSE
Business Analyst,"CAREER GUIDE: Business Analyst || 💰 SALARY: Entry: ₹6-10 LPA | Senior: ₹20-35 LPA || 🗺️ ROADMAP: Step 1: Graduation. Step 2: Learn SQL, Excel, Tableau. Step 3: MBA (Optional). Step 4: Analyst Role. || 🎓 EXAMS: CAT, MAT, CMAT. || 🏔️ J&K COLLEGES: IIM Jammu, University of Kashmir (MBA), SMVDU.",Career_Roadmap_Guide,Business Analyst,FALSE
Product Manager,"CAREER GUIDE: Product Manager || 💰 SALARY: Entry: ₹10-18 LPA | Senior: ₹40-80+ LPA || 🗺️ ROADMAP: Step 1: B.Tech/BBA. Step 2: MBA (Preferred). Step 3: Learn Agile, UX, Analytics. Step 4: APM Role. || 🎓 EXAMS: CAT, GMAT. || 🏔️ J&K COLLEGES: IIM Jammu (MBA Program).",Career_Roadmap_Guide,Product Manager,FALSE
Financial Analyst,"CAREER GUIDE: Financial Analyst || 💰 SALARY: Entry: ₹5-9 LPA | Senior: ₹18-30 LPA || 🗺️ ROADMAP: Step 1: B.Com/BBA. Step 2: M.Com or MBA Finance. Step 3: Certifications (CFP/CFA). || 🎓 EXAMS: CFA, NISM Certifications. || 🏔️ J&K COLLEGES: Islamia College Srinagar (Commerce), SPMR College of Commerce Jammu.",Career_Roadmap_Guide,Financial Analyst,FALSE
Civil Services (IAS/IPS),"CAREER GUIDE: Civil Services (IAS/IPS) || 💰 SALARY: Entry: ₹56,100/mo (Basic) + Perks | Senior: Cabinet Secretary Level || 🗺️ ROADMAP: Step 1: Graduation (Any Stream). Step 2: Prepare for UPSC CSE (1-2 yrs). Step 3: Clear Prelims, Mains, Interview. || 🎓 EXAMS: UPSC Civil Services Exam (CSE), JKAS (State PSC). || 🏔️ J&K COLLEGES: Any GDC (Govt Degree College) for Graduation. IMPA (J&K) for Training.",Career_Roadmap_Guide,Civil Services (IAS/IPS),FALSE
Teacher,"CAREER GUIDE: Teacher || 💰 SALARY: Entry: ₹3-6 LPA (Pvt) / ₹40k-60k/mo (Govt) | Senior: ₹10-12 LPA || 🗺️ ROADMAP: Step 1: Graduation. Step 2: B.Ed. Step 3: CTET/State TET. Step 4: Apply for Govt/Pvt Schools. || 🎓 EXAMS: CTET, JK-SET (for Lecturers), NET. || 🏔️ J&K COLLEGES: Govt College of Education (Srinagar/Jammu), Central University B.Ed.",Career_Roadmap_Guide,Teacher,FALSE
Professor,"CAREER GUIDE: Professor || 💰 SALARY: Entry: ₹57,700/mo (Asst. Prof) | Senior: ₹1.5-2.5L/mo || 🗺️ ROADMAP: Step 1: Masters Degree. Step 2: Clear UGC NET / CSIR NET. Step 3: PhD (Mandatory for Univ). Step 4: Assistant Professor. || 🎓 EXAMS: UGC NET, CSIR NET, JK-SET. || 🏔️ J&K COLLEGES: University of Kashmir, University of Jammu, CUK, CUJ.",Career_Roadmap_Guide,Professor,FALSE
Journalist,"CAREER GUIDE: Journalist || 💰 SALARY: Entry: ₹3-5 LPA | Senior: ₹10-20 LPA || 🗺️ ROADMAP: Step 1: BA in Journalism/Mass Comm. Step 2: Internships at Media Houses. Step 3: Reporter/Editor Role. || 🎓 EXAMS: Entrance Exams for IIMC, Jamia Millia. || 🏔️ J&K COLLEGES: Media Education Research Centre (MERC) KU, Govt College for Women Parade (Jammu).",Career_Roadmap_Guide,Journalist,FALSE
Graphic Designer,"CAREER GUIDE: Graphic Designer || 💰 SALARY: Entry: ₹3-6 LPA | Senior: ₹12-20 LPA || 🗺️ ROADMAP: Step 1: B.Des or Certification. Step 2: Master Photoshop, Illustrator. Step 3: Portfolio. Step 4: Agency/Freelance. || 🎓 EXAMS: NID DAT, UCEED. || 🏔️ J&K COLLEGES: Institute of Music & Fine Arts (KU/JU), Shri Mata Vaishno Devi University (Architecture/Design).",Career_Roadmap_Guide,Graphic Designer,FALSE
Fashion Designer,"CAREER GUIDE: Fashion Designer || 💰 SALARY: Entry: ₹4-8 LPA | Senior: ₹15-30 LPA || 🗺️ ROADMAP: Step 1: B.Des in Fashion. Step 2: Intern with Designers. Step 3: Launch Label or Join Brand. || 🎓 EXAMS: NIFT Entrance, NID. || 🏔️ J&K COLLEGES: NIFT Srinagar (Ompora Budgam).",Career_Roadmap_Guide,Fashion Designer,FALSE
Lawyer,"CAREER GUIDE: Lawyer || 💰 SALARY: Entry: ₹3-8 LPA | Senior: ₹25-50+ LPA || 🗺️ ROADMAP: Step 1: 12th (Any stream). Step 2: CLAT for 5-yr LLB OR Graduation + 3-yr LLB. Step 3: Bar Council Exam. || 🎓 EXAMS: CLAT, AILET. || 🏔️ J&K COLLEGES: School of Law (University of Kashmir), Law School (University of Jammu), Dogra Law College.",Career_Roadmap_Guide,Lawyer,FALSE
Civil Engineer,"CAREER GUIDE: Civil Engineer || 💰 SALARY: Entry: ₹4-8 LPA | Senior: ₹15-25 LPA || 🗺️ ROADMAP: Step 1: B.Tech Civil. Step 2: GATE (for PSU/M.Tech) or Site Experience. Step 3: Project Manager. || 🎓 EXAMS: JEE, JKCET. || 🏔️ J&K COLLEGES: NIT Srinagar, GCET Jammu, SSM College.",Career_Roadmap_Guide,Civil Engineer,FALSE
Architect,"CAREER GUIDE: Architect || 💰 SALARY: Entry: ₹4-7 LPA | Senior: ₹15-30 LPA || 🗺️ ROADMAP: Step 1: B.Arch (5 yrs). Step 2: Internship. Step 3: COA Registration. Step 4: Architect. || 🎓 EXAMS: NATA, JEE Paper 2. || 🏔️ J&K COLLEGES: SMVDU Katra (School of Architecture), GCET Jammu (Architecture Dept).",Career_Roadmap_Guide,Architect,FALSE
