career_id,career_name,description,required_stream,min_percentage,entrance_exams,top_jk_colleges,avg_starting_salary_lpa,salary_5_years_lpa,key_skills,job_roles,growth_prospects,jk_opportunities,study_duration_years,recommended_certifications
1,Software Engineer,"Design, develop and maintain software applications and systems",Science (PCM),60%,JEE Main|CUET,NIT Srinagar|IIT Jammu|IUST|GDC Baramulla (BCA)|University of Kashmir,4-8,12-25,"Python|Java|Data Structures|Algorithms|Problem Solving|Git|Database Management","Software Developer|Backend Developer|Full Stack Developer|Mobile App Developer|DevOps Engineer",Excellent - High global demand with remote work opportunities,IT Parks Srinagar|Tech Startups|Government IT Projects|Remote opportunities for global companies,4 (B.Tech) or 3 (BCA),"AWS Certified|Google Cloud|Microsoft Azure|Oracle Java Certification"
2,Data Scientist,"Analyze complex data to help companies make better decisions using AI and ML",Science (PCM),65%,JEE Main|CUET,NIT Srinagar|IIT Jammu|IUST|University of Kashmir,6-12,15-30,"Python|R|Machine Learning|Statistics|Data Visualization|SQL|Big Data|TensorFlow","Data Scientist|ML Engineer|Data Analyst|AI Researcher|Business Intelligence Analyst",Excellent - Fastest growing field with high demand,IT Companies|Research Institutions|Government Analytics|E-commerce startups in J&K,4 (B.Tech) + 2 (M.Tech optional),"Google Data Analytics|IBM Data Science|AWS ML Specialty|Tableau Certification"
3,Medical Doctor (MBBS),"Diagnose and treat patients, perform surgeries, provide healthcare services",Science (PCB),50% (NEET cutoff),NEET,GMC Srinagar|GMC Jammu|AIIMS Jammu|GMC Doda|GMC Udhampur,6-10,15-30,"Medical Knowledge|Patient Care|Diagnosis|Surgery|Communication|Empathy|Emergency Response","General Physician|Surgeon|Specialist|Medical Officer|Consultant|Emergency Doctor",Excellent - Always in high demand with respect and job security,Government Hospitals|SKIMS|District Hospitals|Private Hospitals|Clinics|Medical Colleges,5.5 (MBBS) + 3 (MD/MS optional),"MBBS Degree|MD/MS Specialization|DNB|Fellowship programs"
4,Civil Engineer,"Design and oversee construction of infrastructure like roads, buildings, bridges",Science (PCM),55%,JEE Main,NIT Srinagar|IIT Jammu|Govt Polytechnic Udhampur|GDC Kathua,3-5,7-12,"AutoCAD|Structural Analysis|Construction Management|Surveying|Project Planning|Site Management","Civil Engineer|Site Engineer|Project Manager|Structural Designer|Urban Planner|Construction Supervisor",Excellent - J&K infrastructure boom with smart city projects,JKPCC|PWD|Smart City Projects|NHAI|Private Construction Companies|Real Estate,4 (B.Tech) or 3 (Diploma),"AutoCAD Certified|PMP|LEED Green Associate|Primavera Certification"
5,Chartered Accountant (CA),"Manage accounts, taxation, auditing and financial planning for businesses",Commerce or Any,50%,CA Foundation|Intermediate|Final,ICAI Study Centers in Srinagar & Jammu,6-12,15-40,"Accounting|Taxation|Auditing|Financial Analysis|GST|Company Law|Excel|Tally","Chartered Accountant|Tax Consultant|Auditor|Financial Advisor|CFO|Finance Manager",Excellent - High earning potential and prestigious career,CA Firms|Corporate Finance Depts|Banks|Government Audit|Tax Consultancies,4-5 (CA qualification),CA Certification (ICAI)
6,IAS/IPS Officer (Civil Services),"Administrative and police services managing government operations and law enforcement",Any Graduate,55%,UPSC CSE,N/A - Competitive exam after graduation,7-10,15-25,"General Knowledge|Current Affairs|Leadership|Decision Making|Communication|Public Administration","IAS Officer|IPS Officer|IFS Officer|District Collector|SP|Administrative Officer",Excellent - Most prestigious with power and social impact,J&K Administration|Police Department|Revenue|Development|Foreign Services,Graduation + 1-2 years preparation,UPSC CSE Qualification
7,Mechanical Engineer,"Design and develop mechanical systems, machines and manufacturing processes",Science (PCM),60%,JEE Main,NIT Srinagar|IIT Jammu|Govt Polytechnic Jammu|Govt Polytechnic Srinagar,3-6,8-15,"CAD/CAM|Thermodynamics|Manufacturing|AutoCAD|SolidWorks|Machine Design|Production Planning","Mechanical Engineer|Design Engineer|Production Manager|Quality Control|Maintenance Engineer",Good - Manufacturing and automobile sector growing,JKTPO|Small Scale Industries|Automobile Workshops|Government PWD|Manufacturing Units,4 (B.Tech) or 3 (Diploma),"AutoCAD|SolidWorks Certified|CATIA|Six Sigma|PMP"
8,Lawyer (Advocate),"Represent clients in legal matters, provide legal advice and fight cases in court",Any Stream,45%,CLAT|State Law Entrance,University of Kashmir Law College|University of Jammu Law College,3-6,8-20,"Legal Research|Argumentation|Communication|Case Analysis|Critical Thinking|Negotiation","Advocate|Legal Advisor|Corporate Lawyer|Public Prosecutor|Judge|Legal Consultant",Excellent - Legal services always in demand,High Court J&K|District Courts|Legal Firms|Corporate Legal Departments|Government Legal,5 (BA LLB) or 3 (LLB after graduation),"Bar Council Enrollment|LLM|Specialized Law Certifications"
9,Nurse (B.Sc Nursing),"Provide patient care, assist doctors, manage medical procedures in hospitals",Science (PCB) or Any,45%,NEET or State Nursing Exam,Govt Nursing College Srinagar|Govt Nursing College Jammu|Govt Nursing College Udhampur,2.5-4,5-8,"Patient Care|Medical Procedures|Communication|Compassion|Emergency Response|Clinical Skills","Staff Nurse|Nursing Officer|ICU Nurse|Community Health Nurse|Nursing Superintendent",Excellent - High demand in healthcare sector,All Government & Private Hospitals|SKIMS|GMC|District Hospitals|Clinics,4 (B.Sc Nursing),"B.Sc Nursing|Post-Basic Nursing|Critical Care Certification"
10,Business Manager (MBA),"Manage business operations, strategy, marketing and lead teams in organizations",Any Graduate,50%,CAT|MAT|CUET,University of Kashmir|CUK|Kashmir University Business School|IIM (outside J&K),3-5,8-18,"Leadership|Communication|Strategic Thinking|Marketing|Finance|Analytics|Team Management","Business Manager|Marketing Manager|HR Manager|Operations Manager|Product Manager|Entrepreneur",Good - Business sector expanding with startups,Banks|Corporate Offices|Startups|Government PSUs|Tourism Industry|E-commerce,2 (MBA after graduation),"MBA Degree|PMP|Digital Marketing|Six Sigma|Google Analytics"
