Career_Field,Stream_Required,Minimum_Percentage,Entrance_Exam,Top_Colleges_JK,Average_Starting_Salary,5_Year_Salary,Job_Roles,Skills_Required,Growth_Prospects,JK_Opportunities
Computer Science Engineering,Science (PCM),60%+,JEE Main,NIT Srinagar|IIT Jammu|IUST|GDC Baramulla (BCA),₹4-8 LPA,₹12-25 LPA,Software Developer|Data Scientist|AI Engineer|Web Developer|Cybersecurity Analyst,Programming (Python/Java)|Problem Solving|Data Structures|Algorithms|Database Management,Excellent - High demand globally,IT Parks in Srinagar|Startups|Remote opportunities|Government IT projects
Mechanical Engineering,Science (PCM),60%+,JEE Main,NIT Srinagar|IIT Jammu|Govt Polytechnic Jammu|Govt Polytechnic Srinagar,₹3-6 LPA,₹8-15 LPA,Mechanical Engineer|Design Engineer|Production Manager|Quality Control|CAD Designer,CAD/CAM|Thermodynamics|Manufacturing|AutoCAD|SolidWorks,Good - Manufacturing sector growing,JKTPO|Small Scale Industries|Automobile workshops|Government PWD
Civil Engineering,Science (PCM),55%+,JEE Main,NIT Srinagar|IIT Jammu|Govt Polytechnic Udhampur|GDC Kathua,₹3-5 LPA,₹7-12 LPA,Civil Engineer|Site Engineer|Project Manager|Structural Designer|Urban Planner,AutoCAD|Structural Analysis|Construction Management|Surveying|Project Planning,Excellent - Infrastructure boom in J&K,JKPCC|PWD|Smart City Projects|NHAI|Private Construction
Electrical Engineering,Science (PCM),60%+,JEE Main,NIT Srinagar|IIT Jammu|Govt Polytechnic Jammu,₹3.5-6 LPA,₹8-14 LPA,Electrical Engineer|Power Systems Engineer|Control Systems Engineer|Automation Engineer,Circuit Design|Power Systems|Control Systems|PLC Programming|Electrical Machines,Good - Power sector expansion,JKPDD|Renewable Energy Projects|NHPC|Power Grid Corporation
Medicine (MBBS),Science (PCB),50%+ (NEET cutoff varies),NEET,GMC Srinagar|GMC Jammu|AIIMS Jammu|GMC Doda|GMC Udhampur,₹6-10 LPA,₹15-30 LPA,Doctor|Surgeon|Medical Officer|Specialist|Consultant,Medical Knowledge|Patient Care|Diagnosis|Surgery|Communication|Empathy,Excellent - Always in demand,Government Hospitals|Private Hospitals|Clinics|SKIMS|District Hospitals
Nursing,Science (PCB) or Any,45%+,NEET/State Nursing Exam,Govt Nursing College Srinagar|Govt Nursing College Jammu|Govt Nursing College Udhampur,₹2.5-4 LPA,₹5-8 LPA,Staff Nurse|Nursing Officer|ICU Nurse|Community Health Nurse|Nursing Superintendent,Patient Care|Medical Procedures|Communication|Compassion|Emergency Response,Excellent - High demand,All Government & Private Hospitals|SKIMS|GMC|District Hospitals
Pharmacy (B.Pharma),Science (PCB/PCM),50%+,JEE Main/State Pharmacy,Govt Medical College Jammu|Private Pharmacy Colleges,₹2.5-4 LPA,₹5-10 LPA,Pharmacist|Drug Inspector|Medical Representative|Quality Control Analyst|Research Scientist,Pharmaceutical Chemistry|Pharmacology|Drug Formulation|Quality Control|Regulatory Affairs,Good - Pharma industry growing,Government Hospitals|Private Pharmacies|Drug Control Dept|Pharmaceutical Companies
Law (BA LLB/LLB),Any Stream,45%+,CLAT/State Law Entrance,University of Kashmir Law College|University of Jammu Law College,₹3-6 LPA,₹8-20 LPA,Advocate|Legal Advisor|Judge|Corporate Lawyer|Public Prosecutor,Legal Research|Argumentation|Communication|Critical Thinking|Case Analysis,Excellent - Legal services always needed,High Court|District Courts|Legal Firms|Government Legal Departments|Corporate Legal
Business Administration (BBA/MBA),Any Stream,50%+,CUET/CAT/MAT,University of Kashmir|CUK|Kashmir University Business School,₹3-5 LPA,₹8-18 LPA,Business Manager|Marketing Manager|HR Manager|Operations Manager|Entrepreneur,Leadership|Communication|Strategic Thinking|Marketing|Finance|Analytics,Good - Business sector expanding,Banks|Corporate Offices|Startups|Government PSUs|Tourism Industry
Commerce (B.Com),Commerce/Any,45%+,CUET,University of Kashmir|GDC Srinagar|GDC Anantnag|GDC Jammu,₹2.5-4 LPA,₹6-12 LPA,Accountant|Tax Consultant|Auditor|Financial Analyst|Banking Officer,Accounting|Taxation|Financial Analysis|Tally|Excel|GST Knowledge,Good - Finance sector stable,J&K Bank|Other Banks|CA Firms|Government Accounts Dept|Private Companies
